stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
BLEUNIER,852081,Bleunière,47.556612,-0.424492,0,Europe/Paris,0
BOISDAME,541690,Bois des Dames,47.56618,-0.6781509999999999,0,Europe/Paris,1
BOURJO-E,825402,Bourg Joly,47.408828,-0.313155,0,Europe/Paris,0
BAUDELAI,204931,Baudelaire,47.396421,-0.52411,0,Europe/Paris,0
BEHUARD,509673,Béhuard Bourg,47.378648,-0.646488,0,Europe/Paris,0
BOIFOU,727425,Bois du Fouilloux,47.436247,-0.700041,0,Europe/Paris,1
BOISDA-E,586590,Bois des Dames,47.566143,-0.67797,0,Europe/Paris,1
5ROUTES,408706,Cinq routes,47.484379,-0.643557,0,Europe/Paris,0
BOIFOU-E,456097,Bois du Fouilloux,47.436268,-0.70023,0,Europe/Paris,1
BLEUNI-E,447015,Bleunière,47.556716,-0.424157,0,Europe/Paris,0
CLAIRIER,370558,Clairière,47.39815,-0.526595,0,Europe/Paris,0
CMONGAZO,242614,Chemin de Mongazon,47.484594,-0.485014,0,Europe/Paris,1
FARCYSJA,74469,Farcy,47.473717,-0.57698,0,Europe/Paris,1
FRAYON,221540,Frayon,47.46125,-0.708101,0,Europe/Paris,1
FRES37-E,286593,Le Fresne,47.442386,-0.583592,0,Europe/Paris,0
FRESN37,856633,Le Fresne,47.442414,-0.5835050000000001,0,Europe/Paris,0
GABORI-E,375265,Gaboriau,47.563308,-0.6758150000000001,0,Europe/Paris,1
GABORIAU,420094,Gaboriau,47.562738,-0.675272,0,Europe/Paris,1
GROESPLA,277530,Gare routière Esplanade,47.464709,-0.558012,0,Europe/Paris,0
GROSEMAR,49861,Gare routière Sémard,47.465113,-0.559323,0,Europe/Paris,0
HELBOU,76238,Hélène Boucher,47.485999,-0.48988,0,Europe/Paris,1
HELBO-E,807048,Hélène Boucher,47.486725,-0.489775,0,Europe/Paris,1
LABOET-E,937479,La Boette,47.420204,-0.446023,0,Europe/Paris,0
LABABEAU,695120,La Barre,47.473546,-0.599654,0,Europe/Paris,0
JOUVET,454522,Jouvet,47.558573,-0.670089,0,Europe/Paris,1
LABOETTE,274792,La Boette,47.420297,-0.446045,0,Europe/Paris,0
